"","plotID","sbpltID","sensor","LVIS_coverage","ZG","RH10","RH15","RH20","RH25","RH30","RH35","RH40","RH45","RH50","RH55","RH60","RH65","RH70","RH75","RH80","RH85","RH90","RH95","RH96","RH97","RH_98_plot_max","RH98","RH99","RH100"
"1","BONA_002","40","facility_2019",0.739,494.235077131258,1.15191339648173,2.59130446549391,4.30459269282815,6.27289851150203,7.61818944519621,8.37449797023004,8.96889580514208,9.41609472259811,9.86329364005413,10.1809932341001,10.6104925575101,10.9281921515562,11.3490581867388,11.6518592692828,12.1214668470907,12.5175967523681,13.0504276048714,13.8675317997294,14.1675317997294,14.3529309878214,16.19,14.6529309878214,14.9706305818674,15.5105115020298
"2","BONA_002","41","facility_2019",0.7048,494.341726730988,0.238054767309875,1.02880675368899,2.05641742338252,3.17274404086266,4.07814982973893,5.24545970488082,6.47636208853575,7.42122587968218,8.16613933030647,8.65885357548241,9.26674943246311,9.75946367763905,10.294608399546,10.7142167990919,11.1003050510783,11.5930192962543,12.0778376844495,12.7997233257662,12.9801149262202,13.2206299659478,16.19,13.5206299659478,13.8380391600454,14.6143402383655
"3","BONA_002","31","facility_2019",0.621,492.704051529791,1.11347504025765,2.68299516908213,5.0607729468599,6.73813526570048,7.83533333333333,8.5656038647343,9.07797101449276,9.51599033816425,9.88449275362319,10.2588405797101,10.5529951690821,10.8636714975845,11.1695169082126,11.4178260869565,11.8120289855072,12.3051658615137,12.9496876006441,13.8838904991948,14.1143735909823,14.4884315619968,16.19,14.7247600644122,15.1107987117552,15.7952624798712
"4","BONA_002","32","facility_2019",0.6758,492.773927197396,-0.14439479135839,0.535732465226398,1.65223142941699,2.76476176383545,3.49039064812075,3.99166321396863,4.41374075170169,4.76252737496301,5.14500739863865,5.5306392423794,5.8336578869488,6.2760668836934,6.69131103876887,7.18157443030483,7.74512873631252,9.4121633619414,10.4740751701687,11.767697543652,12.0340041432376,12.3935335898195,16.19,12.7503107428233,13.2509174311927,13.9236578869488
"5","BONA_002","merged","facility_2019",0.68515,493.555282419908,0.588532073268627,1.7033733489017,3.2437331241334,4.71598555060936,5.73913376632854,6.53235058016493,7.22935853462745,7.77819455593666,8.26816573013209,8.66046121287309,9.07398197475005,9.46585054367657,9.88865649857695,10.2553754652266,10.7095843975772,11.4659242501642,12.1421812741735,13.0788356564256,13.3240155440414,13.6092760709334,16.19,13.9088491571189,14.2870619572356,14.9532660731227
"6","BONA_004","40","facility_2019",0.733,680.497366984993,-0.969085948158254,-0.751350613915416,-0.520927694406549,-0.451350613915416,-0.369085948158254,-0.220927694406548,-0.151350613915416,-0.0709276944065484,0.0790723055934516,0.159495225102319,0.307653478854025,0.698922237380628,1.56552523874488,2.18537517053206,3.05175989085948,3.91717598908595,4.77807639836289,5.96547066848568,6.34045020463847,6.6387721691678,7.17,7.00567530695771,7.37709413369714,8.33809004092769
"7","BONA_004","41","facility_2019",0.644,681.737189440994,-1.01447204968944,-0.830931677018634,-0.675667701863354,-0.531490683229814,-0.417593167701863,-0.375667701863354,-0.231490683229814,-0.225667701863354,-0.075667701863354,-0.075667701863354,0.074332298136646,0.227593167701863,0.30445652173913,0.525807453416149,1.0145652173913,1.75277950310559,2.72630434782609,4.085,4.63468944099379,5.03950310559006,6.99,5.59534161490683,6.1555900621118,7.2811801242236
"8","BONA_004","31","facility_2019",0.71,680.581309859155,-0.990866197183099,-0.798929577464789,-0.648929577464789,-0.498929577464789,-0.390866197183099,-0.310584507042253,-0.198929577464789,-0.160584507042254,-0.0105845070422535,0.0277605633802817,0.138147887323944,0.562246478873239,0.941049295774648,1.29204929577465,1.72795070422535,2.28654225352113,2.80399295774648,4.05604929577465,4.48534507042254,4.82421830985915,6.87,5.20423943661972,5.72395774647887,6.88800704225352
"9","BONA_004","32","facility_2019",0.668,681.668450598802,-0.89622005988024,-0.729041916167665,-0.581107784431138,-0.431107784431138,-0.329273952095808,-0.179273952095808,-0.131107784431138,-0.0292739520958084,0.120726047904192,0.222559880239521,0.372559880239521,1.29945359281437,2.16229041916168,2.80086077844311,3.28744011976048,3.95615269461078,4.82970059880239,5.67885479041916,5.89419910179641,6.12335329341317,6.87,6.36854041916168,6.84952844311377,7.80398952095808
"10","BONA_004","merged","facility_2019",0.68875,681.0927676951,-0.967640653357532,-0.776805807622505,-0.604678765880218,-0.477437386569873,-0.376384754990926,-0.270105263157895,-0.177437386569873,-0.120105263157895,0.0298947368421053,0.0858656987295826,0.225166969147005,0.699132486388385,1.25450272232305,1.71645372050817,2.2915335753176,3.00044827586207,3.80223049001815,4.96431941923775,5.35543012704174,5.67232486388385,7.17,6.0572613430127,6.53760617059891,7.5878221415608
"11","BONA_006","40","facility_2019",0.1125,516.694044444444,-1.07697777777778,-0.840977777777778,-0.690977777777778,-0.540977777777778,-0.516311111111111,-0.366311111111111,-0.216311111111111,-0.193288888888889,-0.0432888888888889,-0.0186222222222222,0.125644444444444,0.236311111111111,0.300311111111111,0.474977777777778,0.696311111111111,1.06764444444444,2.12697777777778,2.88164444444444,3.11764444444444,3.35364444444444,4.72,3.61431111111111,3.97564444444444,4.80302222222222
"12","BONA_006","41","facility_2019",0.1525,519.343049180328,-1.12186885245902,-0.971377049180328,-0.73727868852459,-0.671377049180328,-0.521868852459016,-0.371868852459016,-0.221868852459016,-0.160819672131148,-0.0108196721311475,0.0545901639344262,0.20455737704918,0.35455737704918,0.419967213114754,0.635377049180328,0.85127868852459,1.13308196721311,1.41881967213115,2.12308196721311,2.60996721311475,3.01275409836066,4.72,3.39685245901639,3.80013114754098,4.58527868852459
"13","BONA_006","31","facility_2019",0.615,521.170691056911,-1.1809756097561,-0.925487804878049,-0.775487804878049,-0.625487804878049,-0.580975609756098,-0.430975609756098,-0.280975609756098,-0.133943089430894,-0.0894308943089431,0.0605691056910569,0.203536585365854,0.248048780487805,0.398048780487805,0.592560975609756,0.681585365853659,0.920609756097561,1.26512195121951,1.60963414634146,1.75963414634146,1.90963414634146,3.37,2.10414634146341,2.46512195121951,3.2669918699187
"14","BONA_006","32","facility_2019",0.7585,520.651529334212,-1.02404746209624,-0.874047462096242,-0.712874093605801,-0.574047462096243,-0.424047462096243,-0.274047462096243,-0.124047462096243,-0.034067237969677,0.115932762030323,0.254759393539881,0.362340145023072,0.512340145023072,0.65116677653263,0.939993408042189,1.35607778510218,2.08066578773896,2.84767303889255,3.58570863546473,3.82282135794331,4.04876071193144,6.86,4.35993408042189,4.62829268292683,5.40708635464733
"15","BONA_006","merged","facility_2019",0.409625,520.452886786695,-1.09568812938663,-0.90014342386329,-0.737143729020446,-0.60014342386329,-0.498388770216662,-0.348388770216662,-0.198388770216662,-0.0942844064693317,0.0161214525480623,0.144470552334452,0.271797375648459,0.379502593835825,0.510552334452243,0.749307293256027,1.01062862374123,1.48749771132133,2.07120231919439,2.65953005797986,2.88711626487641,3.10170277693012,6.86,3.37240768996033,3.69447055233445,4.48585291425084
"16","BONA_009","40","facility_2019",0.79,443.131949367089,-1.6586582278481,-1.21818987341772,-1.02394936708861,-0.729556962025317,-0.535316455696203,-0.341075949367089,-0.191075949367089,0.106088607594937,0.359189873417721,0.659189873417722,0.912291139240506,1.21229113924051,1.46805063291139,1.76805063291139,2.06805063291139,2.46427848101266,3.01737974683544,3.76177215189873,3.91443037974684,4.16753164556962,5.05,4.47001265822785,5.02045569620253,5.81367088607595
"17","BONA_009","41","facility_2019",0.75,439.4968,-1.25389333333333,-0.850293333333333,-0.596693333333333,-0.343306666666667,-0.0964,0.1572,0.4076,0.658106666666667,1.00890666666667,1.30890666666667,1.45890666666667,1.75890666666667,2.05570666666667,2.35570666666667,2.75610666666667,3.35061333333333,7.10712,8.40621333333333,8.70301333333333,8.95341333333333,12.04,9.39712,9.80072,10.5326933333333
"18","BONA_009","31","facility_2019",0.482,444.350539419087,-2.7244398340249,-2.2744398340249,-1.96821576763485,-1.67780082987552,-1.37157676348548,-1.07157676348548,-0.915352697095436,-0.615352697095436,-0.459128630705394,-0.165352697095436,-0.00912863070539419,0.284647302904564,0.44045643153527,0.734232365145228,1.03423236514523,1.32800829875519,1.77178423236515,2.4997510373444,2.6497510373444,2.7997510373444,3.14,3.0997510373444,3.54352697095436,4.36352697095436
"19","BONA_009","32","facility_2019",0.306,440.571111111111,-1.54202614379085,-1.09202614379085,-0.833202614379085,-0.53562091503268,-0.281633986928105,-0.0228104575163399,0.240915032679739,0.540915032679739,0.874444444444444,1.17444444444444,1.36562091503268,1.66562091503268,1.92934640522876,2.18816993464052,2.56071895424837,3.07352941176471,5.91281045751634,7.00849673202614,7.23104575163399,7.45359477124183,12.04,7.78496732026144,8.23222222222222,8.97143790849673
"20","BONA_009","merged","facility_2019",0.582,441.876529209622,-1.7335910652921,-1.30177405498282,-1.056735395189,-0.775957903780069,-0.533711340206186,-0.289961340206186,-0.0913788659793815,0.191713917525773,0.46680412371134,0.765515463917526,0.957203608247423,1.25591494845361,1.50524914089347,1.79854810996564,2.1404295532646,2.59464776632302,4.45764175257732,5.42351374570447,5.63124570446735,5.85811426116839,12.04,6.20937714776632,6.67686426116839,7.44879725085911
"21","BONA_010","40","facility_2019",0.4106,263.480716025329,-1.08766195811008,-0.790584510472479,-0.787661958110083,-0.640584510472479,-0.490584510472479,-0.487661958110083,-0.340584510472479,-0.337661958110083,-0.190584510472479,-0.190584510472479,-0.0405845104724793,-0.0405845104724793,0.109220652703361,0.109220652703361,0.259220652703361,0.406298100340964,0.556298100340964,0.706298100340964,0.853375547978568,1.00337554797857,1.31,1.29753044325378,1.74168533852898,2.86265952264978
"22","BONA_010","41","facility_2019",0.42,265.165942857143,-1.06662857142857,-0.766628571428571,-0.766628571428571,-0.616628571428571,-0.466628571428571,-0.466628571428571,-0.316628571428571,-0.316628571428571,-0.166628571428571,-0.166628571428571,-0.104271428571429,-0.0166285714285714,0.0457285714285714,0.133371428571429,0.195728571428571,0.283371428571429,0.433371428571429,0.583371428571429,0.583371428571429,0.645728571428571,0.75,0.733371428571429,0.945728571428571,2.0191
"23","BONA_010","31","facility_2019",0.7294,264.015664930079,-0.969860159034823,-0.819860159034823,-0.669860159034823,-0.669860159034823,-0.519860159034823,-0.369860159034823,-0.369860159034823,-0.220559363860707,-0.219860159034823,-0.219860159034823,-0.0698601590348231,-0.0698601590348231,0.0701864546202358,0.0701864546202358,0.220186454620236,0.220186454620236,0.370186454620236,0.520186454620236,0.520186454620236,0.670186454620236,0.71,0.670186454620236,0.820186454620236,1.99
"24","BONA_010","32","facility_2019",0.159,265.613849056604,-1.08909433962264,-0.792490566037736,-0.789094339622642,-0.639094339622642,-0.489094339622642,-0.489094339622642,-0.339094339622642,-0.339094339622642,-0.189094339622641,-0.189094339622641,-0.0390943396226415,-0.0390943396226415,0.110905660377358,0.110905660377358,0.260905660377359,0.260905660377359,0.410905660377358,0.560905660377359,0.564301886792453,0.710905660377358,0.9,0.714301886792453,1.01090566037736,2.06
"25","BONA_010","merged","facility_2019",0.42975,264.316757417103,-1.03267015706806,-0.797329842931937,-0.732670157068063,-0.647015706806283,-0.497015706806283,-0.432670157068063,-0.347015706806283,-0.282966841186736,-0.197015706806283,-0.197015706806283,-0.0684293193717277,-0.0470157068062827,0.0773007562536358,0.0987143688190809,0.227300756253636,0.283845258871437,0.433845258871437,0.583845258871437,0.619290285049447,0.747562536358348,1.31,0.839552065154159,1.0886096567772,2.21202792321117
"26","BONA_011","40","facility_2019",0.7128,638.95708613917,-1.05891975308642,-0.852319023569024,-0.708521324354658,-0.591707351290685,-0.465486812570146,-0.316707351290685,-0.199893378226712,-0.166707351290685,-0.0167073512906846,0.0751066217732884,0.13108024691358,0.247894219977553,0.464708193041526,0.815994668911336,1.25422418630752,1.83174943883277,2.62282547699214,4.14489057239057,4.44931537598204,4.850322671156,6.56,5.3101430976431,5.93110269360269,7.10514730639731
"27","BONA_011","41","facility_2019",0.8122,640.264988918986,-1.04460970204383,-0.754067963555774,-0.604107362718542,-0.454107362718542,-0.445981285397685,-0.304107362718542,-0.154107362718542,-0.146572272839202,-0.00410736271854223,0.0347278995321349,0.184727899532135,0.295390297956168,0.366530411228761,0.727424279734056,1.32791676926865,2.32528195025856,3.69304358532381,5.61695641467619,5.78316917015513,6.08282196503324,6.56,6.49495198227038,6.92419108593942,7.99933513912829
"28","BONA_011","31","facility_2019",0.8542,640.246302973542,-1.13329899321002,-0.867892765160384,-0.719955513931164,-0.569955513931164,-0.535361741980801,-0.385605244673379,-0.354664013111683,-0.235605244673379,-0.204664013111683,-0.0546640131116835,-0.0546640131116835,0.0953359868883166,0.160870990400375,0.367038164364317,0.609861859049403,0.740931866073519,1.13471318192461,1.67686958557715,1.97821587450246,2.3936221025521,5.22,3.03579957855303,3.72026457504097,4.80391711542964
"29","BONA_011","32","facility_2019",0.5898,641.3097456765,-1.05063411325873,-0.759616819260766,-0.609616819260766,-0.459616819260766,-0.453716514072567,-0.309616819260766,-0.168975924042048,-0.159616819260766,-0.0189759240420482,0.130630722278739,0.265371312309257,0.280630722278739,0.556012207527976,1.1012512716175,2.20033570701933,3.42761953204476,4.42672431332655,5.47673787724653,5.65340454391319,5.95968124788064,6.56,6.29303492709393,6.63291285181417,7.67540861308918
"30","BONA_011","merged","facility_2019",0.74225,640.153154260694,-1.07475850454699,-0.811506567867969,-0.663599865274503,-0.521567194341529,-0.477916133378242,-0.331674301111485,-0.225754799595824,-0.179613001010441,-0.0677874705287976,0.0377547995958235,0.118993600538902,0.223498484338161,0.368572583361401,0.719264735601213,1.27694408891883,1.96994914112496,2.84580464802964,4.10209902324015,4.34244930953183,4.70105422701246,6.56,5.17517076456719,5.70611653755473,6.80096699225328
"31","BONA_013","40","facility_2019",0.548,552.672689781022,-0.583627737226277,-0.215443430656934,0.275478102189781,1.58006569343066,2.7528302919708,3.4428503649635,3.99741058394161,4.35196350364964,4.63833211678832,4.93833211678832,5.30651642335766,5.60651642335766,6.05651642335766,6.43833211678832,7.06559489051095,8.90100729927007,10.3191642335766,11.323697080292,11.5500583941606,11.7818740875912,13.77,12.0955054744526,12.4773211678832,13.3455018248175
"32","BONA_013","41","facility_2019",0.266,550.505007518797,-0.490372180451128,-0.112665413533835,0.642748120300752,2.72066541353383,4.54231954887218,5.60314661654135,6.42867669172932,6.88409022556391,7.2617969924812,7.52565037593985,7.90335714285714,8.16721052631579,8.54491729323308,8.84491729323308,10.2269060150376,11.542015037594,12.2143082706767,13.0958909774436,13.3181842105263,13.540477443609,13.89,13.7989172932331,14.1688007518797,15.0156691729323
"33","BONA_013","31","facility_2019",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"34","BONA_013","32","facility_2019",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"35","BONA_013","merged","facility_2019",0.2035,551.964331695332,-0.553153562653563,-0.181857493857494,0.395495085995086,1.95279238329238,3.33760196560197,4.14879484029484,4.79190294840295,5.17941523341523,5.49563144963145,5.78381941031941,6.15511547911548,6.44330343980344,6.86967936117936,7.22475921375921,8.09865233415233,9.76403931203931,10.9384619164619,11.902816953317,12.1278488943489,12.3565528255528,13.89,12.6521486486486,13.0300651105651,13.8912813267813
"36","BONA_018","40","facility_2019",0.8386,653.054619604102,-1.29428809921297,-0.994602909611257,-0.813372287145242,-0.665454328642976,-0.515454328642976,-0.334223706176962,-0.298270927736704,-0.148270927736704,-0.117040305270689,0.0329596947293108,0.182959694729311,0.24542093966134,0.39542093966134,0.54542093966134,0.581373718101598,0.765244455044121,1.02609587407584,1.49498449797281,1.62792034342953,1.906134032912,4.18,2.18875506797043,2.48113522537563,3.55336036250894
"37","BONA_018","41","facility_2019",0.5688,654.551786216596,-1.07898030942335,-0.778980309423347,-0.628980309423347,-0.345699718706048,-0.195699718706048,-0.178980309423347,-0.0456997187060478,0.237580872011252,0.370861462728551,0.654142053445851,1.19509845288326,2.66118495077356,3.73526371308017,4.15182489451477,4.55166666666667,4.96822784810127,5.25822784810127,5.70822784810127,5.85822784810127,5.89166666666667,6.57,6.05838607594937,6.35838607594937,7.33618846694796
"38","BONA_018","31","facility_2019",0.088,652.958522727273,-1.32179545454545,-1.02572727272727,-0.875727272727273,-0.725727272727273,-0.575727272727273,-0.425727272727273,-0.36675,-0.21675,-0.21675,-0.06675,0.08325,0.08325,0.23325,0.38325,0.442227272727273,0.651204545454545,0.941204545454545,1.62711363636364,1.95404545454545,2.372,4.18,2.845,3.43988636363636,4.57031818181818
